Run,Experiment
SRR10276899,10,100
SRR10276900,5,100
SRR10276901,30,100
SRR10276902,10,100
SRR10276903,5,100
SRR10276904,30,100
SRR10276905,10,100
SRR10276906,5,100
SRR10276907,30,100
SRR10276908,10,100
SRR10276909,5,3
SRR10276910,5,100
SRR10276911,30,100
SRR10276912,10,100
SRR10276913,5,100
SRR10276914,30,100
SRR10276915,10,100
SRR10276916,5,100
SRR10276917,30,100
SRR10276918,10,100
SRR10276919,5,100
SRR10276920,30,3
SRR10276921,30,46
SRR10276922,10,46
SRR10276923,5,46
SRR10276924,30,46
SRR10276925,10,46
SRR10276926,5,46
SRR10276927,30,46
SRR10276928,10,46
SRR10276929,5,46
SRR10276930,30,46
SRR10276931,10,3
SRR10276932,10,46
SRR10276933,5,46
SRR10276934,30,46
SRR10276935,10,46
SRR10276936,5,46
SRR10276937,30,46
SRR10276938,10,46
SRR10276939,5,46
SRR10276940,30,46
SRR10276941,10,46
SRR10276942,5,3
SRR10276943,5,46
SRR10276944,30,46
SRR10276945,10,46
SRR10276946,5,46
SRR10276947,30,46
SRR10276948,10,46
SRR10276949,5,46
SRR10276950,30,25
SRR10276951,10,25
SRR10276952,5,25
SRR10276953,30,3
SRR10276954,30,25
SRR10276955,10,25
SRR10276956,5,25
SRR10276957,30,25
SRR10276958,10,25
SRR10276959,5,25
SRR10276960,30,25
SRR10276961,10,25
SRR10276962,5,25
SRR10276963,30,25
SRR10276964,10,3
SRR10276965,10,25
SRR10276966,5,25
SRR10276967,30,25
SRR10276968,10,25
SRR10276969,5,25
SRR10276970,10,25
SRR10276971,5,25
SRR10276972,30,25
SRR10276973,10,25
SRR10276974,5,25
SRR10276975,5,3
SRR10276976,30,25
SRR10276977,10,25
SRR10276978,5,25
SRR10276979,30,3
SRR10276980,10,3
SRR10276981,5,3
SRR10276982,30,3
SRR10276983,10,3
SRR10276984,5,3
SRR10276985,30,3
SRR10276986,30,3
SRR10276987,10,3
SRR10276988,5,3
SRR10276989,30,3
SRR10276990,10,3
SRR10276991,5,3
SRR10276992,30,3
SRR10276993,10,3
SRR10276994,5,3
SRR10276995,30,3
SRR10276996,30,100
SRR10276997,10,100
SRR10276998,5,100
SRR10276999,30,100
SRR10277000,10,100
SRR10277001,5,100
SRR10277002,30,100
SRR10277003,10,3
SRR10277004,10,3
SRR10277005,5,3
