Run;Group;Site;SoilDepth;SnowDepth;Temperature;Moisture;pH;SOM
A001-A-agri-bac;A;Agriculture;17;7;0,6;5,5;7,33;10,1
A003-A-fore-bac;A;Forest;20;13;1,2;7,4;4,76;17,2
A005-A-park-bac;A;Park;10;6;0,2;12,1;7,29;7,8
A007-A-NC-bac;A;NA;NA;NA;NA;NA;NA;NA
A009-B-park-bac;B;Park;8,5;6,5;0,7;27,77;6,19;7,05
A010-B-agri-bac;B;Agriculture;7;11,9;0,3;38,08;6,3;12,19
A011-B-fore-bac;B;Forest;6,5;6,8;0;15,23;4,54;11,55
A015-B-NC-bac;B;NA;NA;NA;NA;NA;NA;NA
A017-C-park-bac;C;Park;8;6;0,3;8,32;5,94;20,3
A019-C-agri-bac;C;Agriculture;16;9;0,5;28;6,22;14,9
A021-C-fore-bac;C;Forest;8;9;1,5;30,48;4,42;20
A023-C-NC-bac;C;NA;NA;NA;NA;NA;NA;NA
A025-D-agri-bac;D;Agriculture;8;10;0,4;30,6;6,35;9,6
A026-D-fore-bac;D;Forest;13;23;0,7;12,6;4,85;11,5
A027-D-park-bac;D;Park;15;7;0,4;9,9;6,84;8,4
A028-D-NC-bac;D;NA;NA;NA;NA;NA;NA;NA
A033-E-agri-bac;E;Agriculture;13;9,5;0,6;18,86;6,53;11,5
A034-E-park-bac;E;Park;10;7;0,4;50,64;6,39;8,4
A035-E-fore-bac;E;Forest;10;11;1,8;37,5;4,48;22,5
A039-E-NC-bac;E;NA;NA;NA;NA;NA;NA;NA
