Run;Group;Site;SoilDepth;SnowDepth;Temperature;Moisture;pH;SOM
A002-A-agri-fun;A;Agriculture;17;7;0,6;5,5;7,33;10,1
A004-A-fore-fun;A;Forest;20;13;1,2;7,4;4,76;17,2
A006-A-park-fun;A;Park;10;6;0,2;12,1;7,29;7,8
A008-A-NC-fun;A;NA;NA;NA;NA;NA;NA;NA
A012-B-park-fun;B;Park;8,5;6,5;0,7;27,77;6,19;7,05
A013-B-agri-fun;B;Agriculture;7;11,9;0,3;38,08;6,3;12,19
A014-B-fore-fun;B;Forest;6,5;6,8;0;15,23;4,54;11,55
A016-B-NC-fun;B;NA;NA;NA;NA;NA;NA;NA
A018-C-park-fun;C;Park;8;6;0,3;8,32;5,94;20,3
A020-C-agri-fun;C;Agriculture;16;9;0,5;28;6,22;14,9
A022-C-fore-fun;C;Forest;8;9;1,5;30,48;4,42;20
A024-C-NC-fun;C;NA;NA;NA;NA;NA;NA;NA
A029-D-agri-fun;D;Agriculture;8;10;0,4;30,6;6,35;9,6
A030-D-fore-fun;D;Forest;13;23;0,7;12,6;4,85;11,5
A031-D-park-fun;D;Park;15;7;0,4;9,9;6,84;8,4
A032-D-NC-fun;D;NA;NA;NA;NA;NA;NA;NA
A036-E-agri-fun;E;Agriculture;13;9,5;0,6;18,86;6,53;11,5
A037-E-park-fun;E;Park;10;7;0,4;50,64;6,39;8,4
A038-E-fore-fun;E;Forest;10;11;1,8;37,5;4,48;22,5
A040-E-NC-fun;E;NA;NA;NA;NA;NA;NA;NA
